iter,ns,epot,ekin,etot,T,ext_force_x_atom0,ext_force_x_atom1026,molecular_extension,t
5000,0.005,[-411.25402784347534],[1015.23742676],[603.98339891],[331.63954103],1.066785454750061,0.20186710357666016,1.5399985313415527,118.06773662567139
10000,0.01,[-1217.2451679706573],[1010.90820312],[-206.33696485],[330.22534795],0.5827915072441101,0.40646591782569885,3.3377742767333984,239.2439830303192
15000,0.015,[-952.5082398578525],[1029.95324707],[77.44500721],[336.44664108],-0.033060457557439804,0.2708517014980316,4.6146626472473145,359.84234285354614
20000,0.02,[-1158.8582756705582],[1026.61315918],[-132.24511649],[335.35556112],0.09752273559570312,0.11173134297132492,3.9666976928710938,480.5040488243103
25000,0.024999999999999998,[-913.3809148073196],[1044.32983398],[130.94891918],[341.14292647],0.5985992550849915,-0.4209873378276825,1.4585037231445312,602.572500705719
30000,0.03,[-1280.411004126072],[992.78747559],[-287.62352854],[324.30599391],0.22162476181983948,-0.5208274722099304,2.227633476257324,724.863320350647
35000,0.034999999999999996,[-1018.2738865315914],[1029.34997559],[11.07608905],[336.24957518],0.009670639410614967,-0.4587429165840149,2.9890241622924805,847.2404522895813
40000,0.04,[-1330.553718239069],[963.45019531],[-367.10352293],[314.72261774],-0.1871410459280014,-0.5090824365615845,3.4314985275268555,969.7410576343536
45000,0.045,[-755.5824579559267],[1013.6729126],[258.09045464],[331.12847362],-0.1158214583992958,-0.15982666611671448,4.202632904052734,1092.2006750106812
50000,0.049999999999999996,[-765.9658687710762],[970.09832764],[204.13245887],[316.89431028],0.12962952256202698,0.45063304901123047,5.19144868850708,1214.4829466342926
55000,0.055,[-953.6860432177782],[1057.28491211],[103.59886889],[345.37485887],0.3076190948486328,0.23153018951416016,4.2750115394592285,1330.5748159885406
60000,0.06,[-1408.654441356659],[984.27600098],[-424.37844038],[321.52561815],0.7063102722167969,-0.09862060844898224,2.529200553894043,1454.626990556717
65000,0.065,[-830.5068767368793],[1036.62011719],[206.11324045],[338.62445456],0.5084159970283508,-0.2521595060825348,2.7163829803466797,1578.564929008484
